storage/path,storage/name,storage/read_only,printer/state,printer/temp_bed,printer/target_bed,printer/temp_nozzle,printer/target_nozzle,printer/axis_z,printer/axis_x,printer/axis_y,printer/flow,printer/speed,printer/fan_hotend,printer/fan_print,timestamp,job/id,job/progress,job/time_remaining,job/time_printing,filename,shape,transfer/id,transfer/time_transferring,transfer/progress,transfer/transferred
/usb/,usb,false,PRINTING,59.9,60,217.1,220,0.4,,,100,100,7799,4038,2025-02-26 10:17:02,86,4,11580,758,,,,,,
/usb/,usb,false,PRINTING,59.9,60,218.8,220,0.4,,,100,100,7799,4001,2025-02-26 10:17:07,86,4,11580,763,,,,,,
/usb/,usb,false,PRINTING,59.9,60,218,220,0.4,,,100,100,7799,4027,2025-02-26 10:17:12,86,4,11580,768,,,,,,
/usb/,usb,false,PRINTING,59.9,60,217,220,0.4,,,100,100,7788,4067,2025-02-26 10:17:17,86,4,11580,773,,,,,,
/usb/,usb,false,PRINTING,59.9,60,217,220,0.4,,,100,100,7799,4053,2025-02-26 10:17:22,86,4,11580,778,,,,,,
/usb/,usb,false,PRINTING,59.9,60,217.2,220,0.4,,,100,100,7785,4043,2025-02-26 10:17:27,86,4,11520,783,,,,,,
/usb/,usb,false,PRINTING,60,60,217.6,220,0.4,,,100,100,7811,4074,2025-02-26 10:17:32,86,4,11520,788,,,,,,
/usb/,usb,false,PRINTING,60,60,218.1,220,0.4,,,100,100,7797,4066,2025-02-26 10:17:37,86,4,11520,793,,,,,,
/usb/,usb,false,PRINTING,60,60,218.7,220,0.4,,,100,100,7811,4048,2025-02-26 10:17:42,86,4,11520,798,,,,,,
/usb/,usb,false,PRINTING,60,60,219.2,220,0.4,,,100,100,7817,4061,2025-02-26 10:17:47,86,4,11520,803,,,,,,
/usb/,usb,false,PRINTING,60.1,60,219.6,220,0.4,,,100,100,7809,4014,2025-02-26 10:17:52,86,4,11520,808,,,,,,
/usb/,usb,false,PRINTING,60,60,219.9,220,0.4,,,100,100,7825,4071,2025-02-26 10:17:57,86,4,11520,813,,,,,,
/usb/,usb,false,PRINTING,60.1,60,220.3,220,0.4,,,100,100,7790,4020,2025-02-26 10:18:02,86,4,11520,818,,,,,,
/usb/,usb,false,PRINTING,60,60,220.3,220,0.4,,,100,100,7805,4034,2025-02-26 10:18:07,86,4,11520,823,,,,,,
/usb/,usb,false,PRINTING,60,60,220.2,220,0.4,,,100,100,7800,4085,2025-02-26 10:18:12,86,4,11520,828,,,,,,
/usb/,usb,false,PRINTING,60.1,60,220.3,220,0.4,,,100,100,7785,4110,2025-02-26 10:18:17,86,4,11520,833,,,,,,
/usb/,usb,false,PRINTING,60,60,220.3,220,0.4,,,100,100,7795,4062,2025-02-26 10:18:22,86,4,11520,838,,,,,,
/usb/,usb,false,PRINTING,60,60,220.2,220,0.4,,,100,100,7825,4083,2025-02-26 10:18:27,86,5,11460,843,,,,,,
/usb/,usb,false,PRINTING,60,60,220.1,220,0.4,,,100,100,7799,4071,2025-02-26 10:18:32,86,5,11460,848,,,,,,
/usb/,usb,false,PRINTING,60,60,220,220,0.4,,,100,100,7861,4065,2025-02-26 10:18:37,86,5,11460,854,,,,,,
/usb/,usb,false,PRINTING,60,60,220.1,220,0.4,,,100,100,7803,4147,2025-02-26 10:18:42,86,5,11460,858,,,,,,
/usb/,usb,false,PRINTING,60,60,220.1,220,0.4,,,100,100,7807,4075,2025-02-26 10:18:47,86,5,11460,864,,,,,,
/usb/,usb,false,PRINTING,60,60,220.1,220,0.4,,,100,100,7794,4124,2025-02-26 10:18:52,86,5,11460,868,,,,,,
/usb/,usb,false,PRINTING,60,60,220,220,0.4,,,100,100,7812,4029,2025-02-26 10:18:57,86,5,11460,874,,,,,,
/usb/,usb,false,PRINTING,60,60,220,220,0.4,,,100,100,7817,3999,2025-02-26 10:19:02,86,5,11460,879,,,,,,
/usb/,usb,false,PRINTING,60,60,220.1,220,0.4,,,100,100,7797,4055,2025-02-26 10:19:07,86,5,11460,884,,,,,,
/usb/,usb,false,PRINTING,60,60,220,220,0.4,,,100,100,7842,4104,2025-02-26 10:19:12,86,5,11460,889,,,,,,
/usb/,usb,false,PRINTING,59.9,60,220.2,220,0.4,,,100,100,7787,4095,2025-02-26 10:19:17,86,5,11460,894,,,,,,
/usb/,usb,false,PRINTING,59.9,60,220.1,220,0.4,,,100,100,7813,4020,2025-02-26 10:19:22,86,5,11460,899,,,,,,
/usb/,usb,false,PRINTING,60,60,220.2,220,0.4,,,100,100,7826,4084,2025-02-26 10:19:27,86,5,11400,904,,,,,,
/usb/,usb,false,PRINTING,60,60,220.4,220,0.6,,,100,100,7815,4300,2025-02-26 10:19:32,86,5,11400,909,,,,,,
/usb/,usb,false,PRINTING,60,60,219.4,220,0.6,,,100,100,7779,5888,2025-02-26 10:19:37,86,5,11400,914,,,,,,
/usb/,usb,false,PRINTING,60,60,219,220,0.6,,,100,100,7776,5946,2025-02-26 10:19:42,86,5,11400,919,,,,,,
/usb/,usb,false,PRINTING,59.9,60,219.6,220,0.6,,,100,100,7799,5937,2025-02-26 10:19:47,86,5,11400,924,,,,,,
/usb/,usb,false,PRINTING,60.1,60,219.7,220,0.6,,,100,100,7808,5941,2025-02-26 10:19:52,86,5,11400,929,,,,,,
